1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-42,8,4,11,1,-87,32,63,-73,-44,-32,-42,-65,-16,-45,8
-39,8,8,9,1,-85,17,70,-67,-47,-23,-42,-60,-11,-35,12
-35,5,9,15,-1,-71,3,78,-66,-52,-12,-45,-49,-1,-28,12
-35,6,7,20,-7,-68,-9,84,-55,-52,-1,-48,-46,15,-24,15
-36,10,1,29,-9,-62,-25,87,-45,-49,5,-51,-41,29,-18,17
-37,6,-6,40,-16,-53,-42,88,-41,-52,4,-41,-23,42,-6,19
-37,3,-17,47,-20,-50,-63,85,-41,-52,5,-30,-23,51,6,20
-39,2,-29,44,-19,-40,-84,79,-46,-51,1,-15,-25,56,14,19
-36,0,-44,39,-23,-36,-100,70,-54,-44,-2,-15,-19,57,17,16
-22,-1,-58,33,-21,-24,-112,63,-62,-35,0,-12,-25,59,12,7
-12,-8,-70,26,-20,-23,-120,56,-71,-30,-5,-14,-25,56,-2,0
-6,-19,-72,15,-14,-20,-126,47,-70,-24,-7,-15,-18,62,-12,-9
-3,-31,-64,6,-14,-18,-120,37,-70,-18,-9,-17,-10,62,-23,-23
-5,-33,-58,2,-15,-20,-114,31,-62,-13,-3,-22,-4,63,-24,-33
-10,-42,-60,-5,-13,-11,-105,23,-48,-11,5,-26,0,58,-20,-39
-14,-39,-61,-14,-11,0,-92,14,-32,-7,21,-35,0,48,-14,-46
-14,-42,-67,-19,-8,7,-82,8,-28,-12,28,-31,-4,42,-10,-50
-14,-42,-70,-20,-6,13,-69,6,-20,-19,33,-27,-14,34,-6,-51
-20,-39,-71,-16,0,19,-53,13,-10,-22,29,-29,-25,29,-6,-42
-26,-41,-68,-5,0,24,-35,15,-3,-20,31,-34,-38,23,-7,-42
-37,-40,-64,-1,4,29,-27,14,8,-17,31,-44,-47,12,-7,-45
-48,-53,-47,0,6,30,-11,9,20,-9,29,-50,-49,1,-20,-44
-66,-57,-31,-5,7,26,-10,0,28,0,28,-60,-53,-11,-24,-44
-68,-43,-21,-5,4,20,-5,-1,29,5,23,-58,-59,-19,-27,-51
-73,-22,-23,0,2,12,-4,3,33,8,18,-48,-60,-35,-30,-61
-69,0,-16,2,0,6,0,4,35,6,11,-39,-67,-40,-25,-71
-67,17,-9,15,-2,1,0,9,43,13,9,-24,-66,-44,-32,-81
-57,29,-4,27,-4,-5,3,12,46,21,10,-15,-64,-37,-40,-85
-49,40,7,34,-1,-2,1,9,51,30,10,-10,-64,-34,-42,-84
-40,53,25,42,3,2,3,0,48,31,10,-12,-61,-22,-42,-87
-28,63,38,45,11,7,7,-13,41,23,4,-12,-60,-10,-38,-85
-15,69,46,46,14,17,15,-28,32,10,3,-17,-57,-5,-34,-82
-5,69,51,41,22,24,21,-35,23,-2,4,-19,-59,-2,-25,-72
5,60,57,36,23,39,23,-46,13,-9,11,-22,-61,0,-15,-61
17,55,62,28,23,53,25,-52,6,-19,15,-22,-60,4,-10,-51
29,55,65,17,19,66,21,-61,-11,-32,17,-15,-56,8,-5,-48
43,52,66,12,12,78,20,-63,-20,-45,19,-18,-54,11,-15,-52
57,52,64,1,6,76,11,-66,-37,-50,21,-21,-52,12,-11,-61
64,47,53,-7,-6,73,-3,-70,-47,-58,20,-26,-49,13,-10,-64
72,38,41,-15,-15,69,-9,-85,-58,-53,14,-29,-45,7,-8,-74
75,26,28,-23,-30,60,-17,-103,-65,-65,6,-30,-35,0,-6,-83
76,14,20,-31,-30,49,-16,-114,-67,-64,-4,-29,-37,-6,-1,-88
74,16,10,-32,-47,38,-14,-118,-60,-68,-6,-35,-33,-14,4,-89
71,17,6,-33,-52,26,-13,-105,-54,-64,-11,-42,-32,-17,7,-79
67,22,-7,-32,-57,12,-9,-87,-41,-58,-14,-51,-31,-22,12,-68
56,25,-21,-41,-70,-4,-4,-62,-30,-55,-26,-61,-33,-27,10,-53
41,28,-31,-44,-80,-20,10,-51,-10,-43,-35,-69,-36,-27,13,-45
29,28,-44,-56,-85,-33,23,-47,5,-41,-43,-67,-34,-28,11,-43
26,32,-44,-60,-81,-43,38,-36,17,-43,-49,-62,-31,-26,10,-36
26,30,-39,-73,-71,-55,44,-46,30,-36,-62,-60,-29,-19,9,-34
26,23,-29,-84,-56,-54,44,-37,42,-27,-72,-58,-8,-17,4,-32
31,17,-17,-94,-41,-58,32,-34,53,-15,-76,-56,2,-22,-3,-28
39,14,1,-99,-22,-53,22,-29,62,3,-77,-45,9,-34,-4,-16
55,4,8,-100,-5,-55,6,-29,61,15,-73,-35,7,-45,-9,-2
69,-5,12,-91,5,-55,2,-27,51,23,-73,-14,0,-49,-7,6
73,-8,13,-77,27,-54,-1,-32,39,30,-73,5,1,-40,-6,11
73,-10,21,-61,43,-58,-7,-45,28,31,-73,17,-2,-32,-4,16
74,-6,34,-37,60,-46,-7,-46,16,34,-75,21,2,-20,-10,18
74,-13,44,-15,70,-52,-7,-56,2,32,-74,25,7,-13,-13,22
73,-9,48,12,78,-54,-9,-65,-9,31,-79,35,11,-12,-14,24
75,-12,49,29,77,-54,-8,-70,-24,30,-78,45,15,-8,-21,25
77,-8,44,48,77,-58,-6,-77,-39,24,-78,52,20,-4,-20,20
75,-6,46,62,77,-57,-14,-74,-54,15,-82,61,25,-6,-29,16
65,-2,52,70,74,-56,-15,-78,-70,6,-87,64,25,-12,-32,12
49,-2,61,71,67,-63,-23,-83,-80,-1,-97,66,24,-9,-31,0
33,-8,69,73,58,-64,-35,-87,-88,-9,-105,65,21,-15,-28,-12
17,-8,73,74,46,-70,-47,-92,-93,-16,-115,64,24,-19,-33,-35
4,-10,78,76,27,-68,-69,-88,-89,-19,-124,56,33,-23,-44,-46
-6,-11,79,75,10,-67,-88,-88,-89,-16,-136,52,46,-18,-48,-64
-14,-15,77,71,-3,-59,-99,-86,-84,-9,-141,48,53,-5,-57,-79
-26,-26,69,59,-8,-59,-102,-90,-85,3,-144,47,53,8,-65,-92
-35,-36,58,46,-21,-59,-95,-95,-85,20,-143,41,45,28,-64,-101
-42,-40,43,32,-29,-66,-84,-93,-80,34,-140,33,37,50,-56,-103
-51,-38,32,8,-41,-67,-73,-90,-71,40,-146,19,34,66,-45,-105
-59,-26,24,-12,-43,-72,-61,-86,-61,42,-147,8,33,80,-35,-102
-52,-7,19,-30,-30,-75,-50,-78,-57,42,-146,2,29,82,-31,-107
-48,10,16,-43,-21,-75,-46,-70,-56,39,-140,-3,27,84,-20,-106
-48,15,16,-51,-9,-70,-41,-68,-45,37,-132,2,28,85,-12,-110
-45,10,9,-51,-1,-64,-39,-60,-36,38,-123,7,34,86,-4,-107
-50,5,0,-55,-1,-58,-26,-60,-32,32,-110,12,32,86,3,-102
-56,4,-16,-54,-1,-44,-23,-60,-19,32,-99,21,33,83,13,-90
-67,11,-28,-63,-3,-35,-17,-56,-10,26,-89,29,30,84,19,-76
-80,12,-45,-72,-6,-24,-12,-53,-12,26,-77,36,28,89,24,-69
-88,8,-48,-84,-7,-20,-5,-55,-17,29,-63,37,25,94,25,-55
-95,-2,-58,-92,-14,-11,5,-47,-18,34,-55,31,23,92,19,-45
-102,-17,-58,-99,-28,-11,11,-43,-28,34,-53,20,14,83,18,-35
-100,-27,-59,-100,-37,-6,7,-41,-39,25,-42,12,8,66,19,-26
-97,-31,-63,-97,-43,-3,1,-36,-41,9,-45,6,7,45,23,-14
-85,-39,-70,-85,-48,-3,-3,-27,-47,-3,-42,4,7,26,23,7
-73,-43,-76,-73,-47,-6,-4,-13,-40,-6,-33,3,9,1,18,20
-65,-58,-81,-60,-36,-8,-2,-13,-45,-2,-18,9,11,-24,8,31
-68,-70,-85,-57,-28,-22,3,-15,-46,2,-7,17,18,-42,1,36
-70,-77,-81,-47,-32,-26,7,-21,-43,8,4,28,22,-49,-1,36
-64,-74,-87,-45,-29,-27,18,-30,-57,11,6,35,18,-46,-5,34
-52,-68,-93,-36,-36,-24,29,-44,-61,11,6,32,18,-46,-9,30
-43,-74,-98,-31,-42,-21,43,-57,-77,16,12,24,16,-35,-16,32
-36,-83,-100,-33,-54,-29,59,-65,-90,15,20,19,23,-32,-21,34
-36,-96,-93,-31,-65,-30,69,-74,-102,10,30,18,23,-23,-17,32
-29,-102,-81,-27,-76,-34,89,-83,-101,10,33,18,25,-13,-22,33
-37,-100,-66,-24,-90,-32,102,-90,-98,2,32,12,26,1,-26,31
-33,-90,-52,-15,-98,-24,110,-94,-86,4,30,9,30,17,-30,30
-42,-78,-41,-11,-95,-8,105,-97,-80,10,32,11,38,27,-38,36
-47,-66,-34,-3,-89,7,89,-100,-70,19,39,12,41,34,-53,37
-47,-51,-30,1,-74,22,64,-102,-63,29,48,16,40,32,-67,40
-46,-35,-22,3,-65,38,37,-106,-58,23,53,16,40,28,-69,41
-43,-17,-25,1,-51,51,9,-119,-62,16,54,12,39,24,-63,34
-30,-14,-21,-4,-42,61,-13,-125,-66,8,51,6,38,16,-50,24
-19,-11,-24,-14,-29,69,-29,-126,-70,0,38,-3,37,8,-36,12
-11,-14,-31,-27,-25,73,-47,-122,-69,-3,21,-9,31,-6,-22,7
-6,-17,-41,-31,-25,74,-63,-114,-60,-7,9,-18,26,-21,-10,1
3,-21,-41,-36,-29,65,-86,-106,-57,-9,8,-18,20,-36,0,-1
9,-24,-42,-27,-32,54,-102,-93,-54,-6,14,-9,10,-44,5,0
18,-24,-40,-22,-36,49,-122,-79,-50,3,23,-2,11,-40,12,1
29,-29,-50,-22,-33,48,-140,-63,-54,15,28,0,4,-38,17,1
37,-20,-56,-21,-34,47,-158,-49,-55,28,32,-1,2,-33,20,-7
