1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-56,-74,-90,-195,-7,7,17,-126,-45,-71,-59,-7,-90,-116,-13,39
-50,-58,-59,-188,-6,34,-2,-71,-28,-46,-60,-17,-79,-113,-9,37
-64,-43,-32,-162,5,41,-33,-15,-27,-47,-53,-28,-54,-89,-26,24
-91,-43,-21,-140,13,33,-86,20,-28,-51,-59,-18,-42,-76,-47,18
-135,-47,-16,-141,2,6,-121,27,-16,-54,-77,-18,-26,-78,-67,26
-140,-39,-10,-162,-40,-15,-126,24,-18,-36,-116,-21,-36,-97,-78,22
-134,-38,-14,-188,-73,-30,-109,26,-25,3,-156,-31,-40,-110,-60,18
-114,-53,-40,-195,-83,-47,-78,20,-40,36,-179,-20,-33,-115,-50,0
-115,-63,-67,-166,-87,-53,-54,8,-54,53,-167,-24,-2,-107,-56,-15
-126,-79,-80,-117,-94,-65,-42,5,-53,27,-139,-23,15,-75,-58,-24
-138,-92,-85,-83,-108,-64,-57,17,-53,-7,-92,-34,-7,-59,-61,-29
-143,-90,-83,-80,-118,-68,-70,11,-38,-31,-50,-55,-34,-44,-57,-35
-126,-97,-78,-106,-118,-85,-91,-4,-27,-29,-8,-58,-62,-27,-51,-49
-91,-117,-64,-121,-115,-98,-90,-27,0,-13,24,-48,-70,-31,-40,-64
-57,-143,-66,-121,-104,-109,-80,-59,28,12,40,-23,-56,-36,-50,-68
-62,-163,-74,-127,-106,-82,-53,-62,40,36,43,-9,-25,-31,-69,-59
-91,-170,-93,-134,-103,-57,-18,-58,22,55,47,-6,-7,-2,-99,-41
-125,-164,-110,-141,-78,-38,11,-36,-25,56,20,2,-1,19,-123,-29
-153,-147,-122,-141,-39,-40,15,-34,-72,40,-16,0,-8,16,-144,-24
-154,-127,-120,-130,8,-36,10,-31,-117,21,-45,-1,-45,-8,-156,-37
-147,-109,-111,-108,19,-31,1,-32,-109,-11,-40,-1,-73,-54,-166,-46
-136,-99,-118,-98,19,-13,-16,-27,-77,-20,-35,6,-103,-88,-182,-45
-143,-90,-125,-98,-4,11,-47,-19,-28,-22,-23,6,-119,-103,-200,-45
-147,-70,-123,-80,-34,19,-78,-20,-5,-15,-29,-4,-135,-99,-211,-51
-153,-67,-106,-49,-47,9,-111,-16,18,-15,-31,-6,-116,-93,-205,-52
-171,-53,-82,-22,-55,-20,-138,-34,21,-16,-29,-21,-84,-83,-183,-54
-187,-59,-38,-19,-72,-48,-155,-40,10,-22,-8,-34,-39,-78,-156,-59
-175,-70,-14,-42,-109,-71,-152,-60,5,-47,13,-58,-7,-71,-129,-47
-141,-82,6,-86,-147,-71,-149,-71,-6,-67,23,-67,-11,-77,-120,-27
-96,-85,4,-120,-175,-57,-120,-81,-6,-75,25,-73,-21,-74,-111,-4
-47,-87,6,-131,-161,-32,-76,-97,-12,-63,25,-64,-65,-52,-89,-7
-40,-93,-14,-113,-120,-13,-43,-95,-20,-41,31,-49,-100,-45,-76,-8
-55,-89,-44,-92,-91,6,-29,-88,-9,-21,27,-35,-98,-32,-74,-16
-74,-86,-69,-57,-88,29,-36,-66,-3,-8,21,-22,-75,-32,-77,-6
-79,-76,-109,-32,-100,27,-44,-44,1,-7,-3,-18,-60,-48,-87,-1
-89,-73,-138,-6,-101,25,-53,-20,-6,-15,-33,-19,-37,-65,-88,4
-94,-80,-143,-2,-90,10,-60,-5,-21,-11,-67,-46,-53,-77,-67,5
-107,-105,-120,-10,-80,-7,-52,-4,-41,-19,-92,-64,-58,-83,-37,-9
-124,-126,-94,-14,-80,-36,-47,-14,-37,-15,-107,-72,-63,-89,-10,-9
-134,-123,-76,-9,-83,-47,-42,-45,-34,-10,-123,-67,-71,-76,-14,-19
-133,-109,-69,-7,-91,-37,-44,-37,-37,-11,-135,-45,-84,-66,-30,-22
-108,-74,-70,0,-95,-36,-44,-4,-22,-35,-139,-28,-95,-47,-63,-38
-74,-59,-57,7,-86,-22,-46,31,-10,-66,-138,-18,-92,-13,-85,-53
-59,-51,-48,13,-100,-32,-51,34,3,-79,-104,-10,-92,33,-103,-59
-52,-65,-31,13,-113,-38,-50,11,-8,-76,-53,-11,-91,67,-106,-71
-78,-84,-52,15,-129,-55,-56,-36,-21,-50,9,-24,-77,76,-87,-70
