,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
0,513.0,-36.63352826510721,54.955008290053456,-187.0,-76.0,-38.0,7.0,77.0,3020.0529361598437,-0.03467944040300178,-0.49845988501354954
1,513.0,-37.89668615984405,52.467912894723234,-215.0,-70.0,-36.0,-6.0,106.0,2752.881883528265,-0.32818278626091585,0.4949254787240167
2,513.0,-35.90643274853801,50.62715097228142,-187.0,-71.0,-37.0,-4.0,101.0,2563.1084155701756,0.1980547899969123,0.03631520876012351
3,513.0,-37.10331384015595,48.20033722421727,-195.0,-67.0,-34.0,-6.0,76.0,2323.2725085282655,-0.27947331674065895,0.35539685605474425
4,513.0,-34.22222222222222,47.29401609435737,-175.0,-70.0,-35.0,-6.0,94.0,2236.7239583333335,0.2808113446978364,-0.10178998074211476
5,513.0,-32.653021442495124,50.49845754561091,-178.0,-66.0,-33.0,-1.0,80.0,2550.0942144858673,-0.13883097794009228,-0.13261213885640988
6,513.0,-36.239766081871345,66.7798024055191,-226.0,-82.0,-35.0,11.0,129.0,4459.542009320176,-0.17089118271071335,-0.15020062919553157
7,513.0,-34.40350877192982,51.121207715482164,-150.0,-72.0,-36.0,2.0,105.0,2613.3778782894733,0.25803031603415755,-0.2766943451342514
8,513.0,-34.56335282651072,48.11209630240194,-189.0,-63.0,-31.0,0.0,90.0,2314.7738106115985,-0.4024351418470096,0.36390245073799976
9,513.0,-29.758284600389864,46.975102017469396,-201.0,-57.0,-30.0,3.0,96.0,2206.6602095516573,-0.27807608974520204,0.5856483749701904
10,513.0,-39.278752436647174,51.62539986228238,-179.0,-74.0,-37.0,0.0,169.0,2665.1819109405455,0.02654204935842258,0.43199722099029314
11,513.0,-39.7270955165692,50.378950554078756,-254.0,-68.0,-37.0,-9.0,94.0,2538.038658930312,-0.5060817938292622,1.5823481963844905
12,513.0,-36.707602339181285,48.00435649889297,-167.0,-68.0,-32.0,0.0,84.0,2304.4182428728072,-0.2862379500518535,-0.29624911980735025
13,513.0,-29.760233918128655,51.51284557583842,-147.0,-68.0,-34.0,6.0,94.0,2653.5732593201756,0.1731926278042773,-0.5282299163379105
14,513.0,-34.64327485380117,50.422080188191224,-242.0,-65.0,-24.0,3.0,85.0,2542.386170504386,-1.0449839701761945,1.3985257617542723
15,513.0,-30.873294346978557,59.251990409153294,-220.0,-64.0,-31.0,9.0,132.0,3510.798367446394,-0.25936529418176824,0.5004986102977607
