,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
0,257.0,-6.968871595330739,46.308651618648476,-103.0,-42.0,-2.0,23.0,77.0,2144.4912147373543,-0.13729171670995974,-0.6903233153274191
1,257.0,-27.15953307392996,54.153372296017984,-215.0,-49.0,-19.0,6.0,78.0,2932.5877310311284,-0.9618446875450246,1.5623276773467483
2,257.0,-18.136186770428015,47.80339919362409,-100.0,-56.0,-25.0,9.0,101.0,2285.1649744649803,0.5996659690529149,-0.3675092180586623
3,257.0,-18.58365758754864,45.96229991125657,-141.0,-46.0,-21.0,11.0,76.0,2112.5330131322958,-0.1541013758678238,-0.2733125939180856
4,257.0,-15.186770428015564,43.407995151178625,-98.0,-47.0,-19.0,6.0,94.0,1884.254043044747,0.45117395894090706,-0.34030041572802183
5,257.0,-18.587548638132297,49.79749147153877,-178.0,-56.0,-15.0,14.0,78.0,2479.790156857977,-0.41519545360285204,0.3805545723243289
6,257.0,-14.618677042801556,74.40216495375283,-226.0,-47.0,3.0,33.0,113.0,5535.682149805447,-0.8780663883247705,0.26564955450385463
7,257.0,-19.941634241245136,53.767734157032535,-126.0,-60.0,-26.0,18.0,105.0,2890.969236381323,0.22274288513549328,-0.6319969894748083
8,257.0,-23.708171206225682,34.80970101183108,-102.0,-52.0,-24.0,2.0,62.0,1211.7152845330738,0.03540776378737004,-0.5826702141466384
9,257.0,-14.669260700389104,41.92696808698342,-120.0,-49.0,-13.0,15.0,96.0,1757.8706529669262,-0.030924486914969233,-0.0932940502450883
10,257.0,-20.68093385214008,45.523767683755196,-147.0,-45.0,-9.0,11.0,54.0,2072.4134241245138,-0.9340493846284631,0.3501926097944028
11,257.0,-21.237354085603112,45.0009774807369,-124.0,-53.0,-25.0,12.0,94.0,2025.0879742217899,0.15858090103261455,-0.22194004975690707
12,257.0,-25.007782101167315,44.738038923295846,-148.0,-56.0,-17.0,9.0,53.0,2001.4921267023344,-0.6730428192158403,-0.13636767554968765
13,257.0,-14.478599221789883,52.37701861771206,-142.0,-45.0,-13.0,26.0,94.0,2743.3520792801555,-0.24088495764272058,-0.39411813194605116
14,257.0,-10.836575875486382,30.381373828870412,-115.0,-28.0,-6.0,12.0,41.0,923.027875729572,-0.996022058316399,1.0230345697188232
15,257.0,-13.023346303501945,59.562593780165514,-177.0,-47.0,-14.0,28.0,132.0,3547.702577821012,-0.1051115550748324,-0.012270235826658205
